Name,Path,Data Type,Logical Address,Comment,Hmi Visible,Hmi Accessible,Hmi Writeable,Typeobject ID,Version ID
Manual_Down_XL_Lift_2,Default tag table,Bool,%M29.3,Trigger Manual Down XL Lift 2,True,True,True,,
Manual_Up_XL_Lift_3,Default tag table,Bool,%M29.4,Trigger Manual Up XL Lift 3,True,True,True,,
Manual_Down_XL_Lift_3,Default tag table,Bool,%M29.5,Trigger Manual Down XL Lift 3,True,True,True,,
Manual_Up_XL_Lift_4,Default tag table,Bool,%M29.6,Trigger Manual Up XL Lift 4,True,True,True,,
Manual_Down_XL_Lift_4,Default tag table,Bool,%M29.7,Trigger Manual Down XL Lift 4,True,True,True,,
Manual_Up_XL_Lift_5,Default tag table,Bool,%M30.0,Trigger Manual Up XL Lift 5,True,True,True,,
Manual_Down_XL_Lift_5,Default tag table,Bool,%M30.1,Trigger Manual Down XL Lift 5,True,True,True,,
Up_XL_Chốt,Default tag table,Bool,%M30.2,Signal Up Xy Lanh Chốt,True,True,True,,
Manual_Up_XL_Chốt_Input,Default tag table,Bool,%M30.3,Trigger manual Up Xy Lanh Chốt In put,True,True,True,,
Down_XL_Chốt,Default tag table,Bool,%M30.4,Trigger Down Xy Lanh Chốt Input,True,True,True,,
Manual_Down_XL_Chốt_Input,Default tag table,Bool,%M30.5,Trigger Manual Down Xy lanh CHót Input,True,True,True,,
Up_XL_Nâng Input,Default tag table,Bool,%M30.6,Trigger Up XL nâng input,True,True,True,,
Manual_Up_XL_Nâng_Input,Default tag table,Bool,%M30.7,Trigger manual up Xy lanh nâng input,True,True,True,,
Down_XL_Nâng Input,Default tag table,Bool,%M31.0,Trigger Down XL Nâng input,True,True,True,,
Manual_Down_XL_Nâng_Input,Default tag table,Bool,%M31.1,Trigger Manual Down XL nâng input,True,True,True,,
Up_XL_Nâng Output,Default tag table,Bool,%M31.2,Trigger Up XL Nâng Input,True,True,True,,
Down_XL_Nâng Output,Default tag table,Bool,%M31.3,Trigger Up XL Nâng Output,True,True,True,,
Manual_Down_XL_Nâng_ Output,Default tag table,Bool,%M31.4,Trigger Manual Down XL Nâng Input,True,True,True,,
CLose_XL_Kẹp_Robot,Default tag table,Bool,%M31.5,Trigger Close XL Kẹp Robot,True,True,True,,
Manual_Close_XL_Kẹp_Robot,Default tag table,Bool,%M31.6,Trigger Manual Close Xl Kẹp Robot,True,True,True,,
Open_XL_Kẹp_Robot,Default tag table,Bool,%M31.7,Trigger Open XL Kẹp Robot,True,True,True,,
Manual_Open_XL_Kẹp_Robot,Default tag table,Bool,%M32.0,Trigger Manual Open XL Kẹp Robot,True,True,True,,
Up_XL_Robot,Default tag table,Bool,%M32.1,Trigger Up XL Robot,True,True,True,,
Manual_Up_XL_Robot,Default tag table,Bool,%M32.2,Trigger Manual Up XL Robot,True,True,True,,
Down_XL_Robot,Default tag table,Bool,%M32.3,Trigger Down XL Robot,True,True,True,,
Manual_Down_XL_Robot,Default tag table,Bool,%M32.4,Trigger Manual Down XL Robot,True,True,True,,
TF1_Position_1,Default tag table,Bool,%M32.7,Signal Detect TF1 at Position 1,True,True,True,,
TF1_Position_2,Default tag table,Bool,%M33.1,Signal Detect Tranfer 1 at Position 2,True,True,True,,
Down_XL_Lift_1_Excute,Default tag table,Bool,%M34.2,Excute Down XL Lift 1,True,True,True,,
Up_XL_Lift_1_Excute,Default tag table,Bool,%M34.6,Excute Up XL Liff 1,True,True,True,,
TF2_Position_1,Default tag table,Bool,%M35.1,Signal Detect TF2 at Possiontion 1,True,True,True,,
TF2_Position_2,Default tag table,Bool,%M35.2,Signal Detect TF2 at Position 2,True,True,True,,
Down_XL_Lift_5_Excute,Default tag table,Bool,%M36.1,Trigger Down XL 5 Excute,True,True,True,,
